# concept_id	lang	definition	source
transport	zh	聚变/核工程术语，指“输运”这一技术概念。	internal:dict-improvements
transport-barrier	en	Fusion/nuclear engineering term referring to 'transport barrier' in technical context.	internal:dict-improvements
transport-equation	en	Fusion/nuclear engineering term referring to 'transport equation' in technical context.	internal:dict-improvements
transport-equation	zh	聚变/核工程术语，指“输运方程”这一技术概念。	internal:dict-improvements
transport-index	zh	聚变/核工程术语，对应英文“transport index (TI)”。	internal:dict-improvements
transportation	zh	聚变/核工程术语，对应英文“transportation”。	internal:dict-improvements
trapped-particle	en	Fusion/nuclear engineering term referring to 'trapped particle' in technical context.	internal:dict-improvements
traveling-wave-direct-energy-converter	en	Fusion/nuclear engineering term referring to 'traveling wave direct energy converter' in technical context.	internal:dict-improvements
traveling-wave-direct-energy-converter	zh	聚变/核工程术语，指“行波直接能量转换器”这一技术概念。	internal:dict-improvements
treatment	zh	聚变/核工程术语，对应英文“treatment”。	internal:dict-improvements
tritium	zh	聚变/核工程术语，指“氚”这一技术概念。	internal:dict-improvements
tritium-accountancy	en	Fusion/nuclear engineering term referring to 'tritium accountancy' in technical context.	internal:dict-improvements
tritium-accountancy	zh	聚变/核工程术语，指“氚衡算”这一技术概念。	internal:dict-improvements
tritium-breeding	en	Fusion/nuclear engineering term referring to 'tritium breeding' in technical context.	internal:dict-improvements
tritium-breeding	zh	聚变/核工程术语，指“氚增殖”这一技术概念。	internal:dict-improvements
tritium-building	en	Fusion/nuclear engineering term referring to 'tritium building' in technical context.	internal:dict-improvements
tritium-building	zh	聚变/核工程术语，指“氚厂房”这一技术概念。	internal:dict-improvements
tritium-carrier	en	Fusion/nuclear engineering term referring to 'tritium carrier' in technical context.	internal:dict-improvements
tritium-carrier	zh	聚变/核工程术语，指“氚载体”这一技术概念。	internal:dict-improvements
tritium-confinement	en	Fusion/nuclear engineering term referring to 'tritium confinement' in technical context.	internal:dict-improvements
tritium-confinement	zh	聚变/核工程术语，指“氚包容”这一技术概念。	internal:dict-improvements
tritium-inventory-control	en	Fusion/nuclear engineering term referring to 'tritium inventory control' in technical context.	internal:dict-improvements
tritium-inventory-control	zh	聚变/核工程术语，指“氚存量控制”这一技术概念。	internal:dict-improvements
tritium-processing	en	Fusion/nuclear engineering term referring to 'tritium processing' in technical context.	internal:dict-improvements
tritium-recovery	en	Fusion/nuclear engineering term referring to 'tritium recovery' in technical context.	internal:dict-improvements
tritium-recovery	zh	聚变/核工程术语，指“氚回收”这一技术概念。	internal:dict-improvements
tritium-recycling	zh	聚变/核工程术语，对应英文“Tritium Recycling”。	internal:dict-improvements
tritium-release	en	Fusion/nuclear engineering term referring to 'tritium release' in technical context.	internal:dict-improvements
tritium-release	zh	聚变/核工程术语，指“氚释放”这一技术概念。	internal:dict-improvements
tritium-self-sufficiency	en	Fusion/nuclear engineering term referring to 'tritium self-sufficiency' in technical context.	internal:dict-improvements
tritium-self-sufficiency	zh	聚变/核工程术语，指“氚自持”这一技术概念。	internal:dict-improvements
tungsten-accumulation	en	Fusion/nuclear engineering term referring to 'tungsten accumulation' in technical context.	internal:dict-improvements
tungsten-accumulation	zh	聚变/核工程术语，指“钨积聚”这一技术概念。	internal:dict-improvements
tungsten-fuzz	en	Fusion/nuclear engineering term referring to 'tungsten fuzz' in technical context.	internal:dict-improvements
tungsten-fuzz	zh	聚变/核工程术语，指“钨绒毛”这一技术概念。	internal:dict-improvements
turbine-island	en	Fusion/nuclear engineering term referring to 'turbine island' in technical context.	internal:dict-improvements
turbine-island	zh	聚变/核工程术语，指“汽轮机岛”这一技术概念。	internal:dict-improvements
turbulence-saturation	en	Fusion/nuclear engineering term referring to 'turbulence saturation' in technical context.	internal:dict-improvements
turbulence-saturation	zh	聚变/核工程术语，指“湍流饱和”这一技术概念。	internal:dict-improvements
turbulence-spreading	en	Fusion/nuclear engineering term referring to 'turbulence spreading' in technical context.	internal:dict-improvements
turbulence-spreading	zh	聚变/核工程术语，指“湍流扩展”这一技术概念。	internal:dict-improvements
turbulence-suppression	en	Fusion/nuclear engineering term referring to 'turbulence suppression' in technical context.	internal:dict-improvements
turbulence-suppression	zh	聚变/核工程术语，指“湍流抑制”这一技术概念。	internal:dict-improvements
turbulent-diffusion	en	Fusion/nuclear engineering term referring to 'turbulent diffusion' in technical context.	internal:dict-improvements
turbulent-diffusion	zh	聚变/核工程术语，指“湍流扩散输运”这一技术概念。	internal:dict-improvements
turbulent-flow	en	Fusion/nuclear engineering term referring to 'turbulent flow' in technical context.	internal:dict-improvements
turbulent-flow	zh	聚变/核工程术语，指“湍流”这一技术概念。	internal:dict-improvements
turbulent-transport	en	Fusion/nuclear engineering term referring to 'turbulent transport' in technical context.	internal:dict-improvements
two-fluid-model	en	Fusion/nuclear engineering term referring to 'two-fluid model' in technical context.	internal:dict-improvements
two-fluid-model	zh	聚变/核工程术语，指“双流体模型”这一技术概念。	internal:dict-improvements
two-phase-flow	en	Fusion/nuclear engineering term referring to 'two-phase flow' in technical context.	internal:dict-improvements
two-phase-flow	zh	聚变/核工程术语，指“两相流”这一技术概念。	internal:dict-improvements
type-a-b-b-c-package	zh	聚变/核工程术语，对应英文“Type A/B(U)/B(M)/C package”。	internal:dict-improvements
ultimate-heat-sink	zh	聚变/核工程术语，对应英文“ultimate heat sink”。	internal:dict-improvements
ultimate-heat-transport-system	zh	聚变/核工程术语，对应英文“ultimate heat transport system”。	internal:dict-improvements
unattached-fraction	zh	聚变/核工程术语，对应英文“unattached fraction”。	internal:dict-improvements
uncertainty	zh	聚变/核工程术语，对应英文“uncertainty”。	internal:dict-improvements
uncertainty-analysis	zh	聚变/核工程术语，对应英文“uncertainty analysis”。	internal:dict-improvements
uniform-hazard-response-spectrum	zh	聚变/核工程术语，对应英文“uniform hazard response spectrum”。	internal:dict-improvements
unilateral-approval	zh	聚变/核工程术语，对应英文“unilateral approval”。	internal:dict-improvements
unirradiated-thorium	zh	聚变/核工程术语，对应英文“unirradiated thorium”。	internal:dict-improvements
unirradiated-uranium	zh	聚变/核工程术语，对应英文“unirradiated uranium”。	internal:dict-improvements
unresolved-resonance-region	en	Fusion/nuclear engineering term referring to 'unresolved resonance region' in technical context.	internal:dict-improvements
unresolved-resonance-region	zh	聚变/核工程术语，指“非分辨共振区”这一技术概念。	internal:dict-improvements
unrestricted-linear-energy-transfer-l	zh	聚变/核工程术语，对应英文“unrestricted linear energy transfer, L∞”。	internal:dict-improvements
unrestricted-use	zh	聚变/核工程术语，对应英文“unrestricted use”。	internal:dict-improvements
unsealed-source	zh	聚变/核工程术语，对应英文“unsealed source”。	internal:dict-improvements
unstructured-mesh	en	Fusion/nuclear engineering term referring to 'unstructured mesh' in technical context.	internal:dict-improvements
unstructured-mesh	zh	聚变/核工程术语，指“非结构网格”这一技术概念。	internal:dict-improvements
upper-port	en	Fusion/nuclear engineering term referring to 'Upper Port' in technical context.	internal:dict-improvements
upper-port	zh	聚变/核工程术语，指“上端口”这一技术概念。	internal:dict-improvements
upper-ports	zh	聚变/核工程术语，对应英文“Upper Ports”。	internal:dict-improvements
